title,authors,year,link,snippet,citations
An investigation and conceptual model ofSMSmarketing,"A Dickinger, P Haghirian,J Murphy… - 37th Annual Hawaii …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1265096/,"… This paper discusses Short Message Services (SMS), which belong to the first and mostsuccessful forms of mobile data transmission. Based on a literature review and exploratory …",0
Text steganography inSMS,"M Shirali-Shahreza… - … Technology (ICCIT 2007 …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4420590/,… to the invention of a new language calledSMS-texting. One of the main …SMSby usingand developing abbreviation text steganography with the use of the invented language ofSMS…,0
SMSencryption for mobile communication,"D Lisonek, M Drahanský - 2008 International Conference on …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4725375/,… We secured theSMSalso against substitution with a fakeSMS. This is realized throughdigital signing of theSMS. Encrypted algorithm must fulfill the following conditions: …,0
SMSLARDA ELLIPTIK STRUKTURALAR,"MEQ Matqosimova- Central Asian Research Journal for …, 2022 - cyberleninka.ru",2022,https://cyberleninka.ru/article/n/sms-larda-elliptik-strukturalar,… Maqolada Singapur Milliy universitetida ishlab chiqilganSMSkorpusining ingliz tilidagiqismiga asoslangan to'liq bo'lmagan sintaktik konstruktsiyalar bo'lgan matnli xabarlar asosida …,0
Validation of the revised sport motivation scale (SMS-II),"LG Pelletier,MA Rocchi,RJ Vallerand,EL Deci… - Psychology of sport and …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1469029212001410,"… subscales in theSMS. Relations ofSMS-II subscales with each other and with expectedoutcomes supported the new scale's validity. In Study 2, the structure of theSMS-II and its …",0
Learning Italian via mobileSMS,"M Levy, C Kennedy - Mobile learning, 2007 - taylorfrancis.com",2007,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203003428-15/learning-italian-via-mobile-sms-mike-levy-claire-kennedy,"… The technology service used in this project was the Telstra Mobile OnlineSMSBusinessservice. The system allowsSMStext messages to be prepared in advance and then, when …",0
Deep learning to filterSMSSpam,"PK Roy,JP Singh,S Banerjee- Future Generation Computer Systems, 2020 - Elsevier",2020,https://www.sciencedirect.com/science/article/pii/S0167739X19306879,"… The popularity of short message service (SMS) has been … theirSMSby the end of the day,about 80% of the emails remain unopened. The popularity ofSMShas also given rise toSMS…",0
[PDF][PDF]SMS-Kommunikation: Ethnografische Gattungsanalyse am Beispiel einer Kleingruppe,"J Androutsopoulos, G Schmidt - Zeitschrift für …, 2002 - jannisandroutsopoulos.net",2002,https://jannisandroutsopoulos.net/wp-content/uploads/2009/09/sms_zfal_36.pdf,… wir zwischenSMSals Kommunikationsform einerseits und unterschiedlichenSMS-Gattungenandererseits. Parallel dazu werden technische Eckdaten vonSMSeingeführt undSMSmit …,0
A novel framework forSMSspam filtering,"AK Uysal,S Gunal,S Ergin… - … on Innovations in …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6246947/,"… phone users from unsolicitedSMSmessages. The …SMSmessages. The discriminativefeature subsets are then employed in two different Bayesian-based classifiers, so thatSMS…",0
Téléphonie mobile: l'appropriation duSMSpar une 'société de l'oralité',"L Kibora - Mobile Phones: The New Talking Drums of Everyday …, 2009 - books.google.com",2009,https://books.google.com/books?hl=fr&lr=&id=v_9WEAAAQBAJ&oi=fnd&pg=PA110&dq=SMS&ots=Kk2AxIcoqx&sig=qVfFOwDon7aD5M5sUPAuI5hLvaE,Le téléphone portable a connu depuis son arrivée en Afrique un développement spectaculaire.Une telle situation serait due au fait que son usage s’ adapte au contexte de la “culture …,0
Contributions to the study ofSMSspam filtering: new collection and results,"TA Almeida,JMG Hidalgo, A Yamakami - … of the 11th ACM symposium on …, 2011 - dl.acm.org",2011,https://dl.acm.org/doi/abs/10.1145/2034691.2034742,"…SMSspam datasets, that are sorely needed for validation and comparison of differentclassifiers. Moreover, asSMS… In this paper, we offer a new real, public and non-encodedSMS…",0
Dsmishsms-a system to detect smishingsms,"S Mishra,D Soni- Neural Computing and Applications, 2023 - Springer",2023,https://link.springer.com/article/10.1007/s00521-021-06305-y,"… the amount of information available in theSMS, the strategy of attack, …SMSClassificationPhase. We have examined the authenticity of the URL in theSMSwhich is a crucial part ofSMS…",0
Determinants of effectiveSMSadvertising: An experimental study,"D Drossos, GM Giaglis,G Lekakos… - Journal of Interactive …, 2007 - Taylor & Francis",2007,https://www.tandfonline.com/doi/abs/10.1080/15252019.2007.10722128,"… investigating the importance of the factors that determineSMSadvertising effectiveness. …SMS) text. In the next section, we identify the factors that may influence the effectiveness ofSMS…",0
Pharmacokinetics ofSMS201-995 in healthy subjects,"K Kutz, E Nüesch, J Rosenthaler - Scandinavian Journal of …, 1986 - Taylor & Francis",1986,https://www.tandfonline.com/doi/abs/10.3109/00365528609087433,"… The pharmacokinetics of a new somatostatin derivative,SMS201-995, was investigatedin a group of eight healthy subjects.SMS201-995 was given intravenously in doses of 25 μg, …",0
"[LIVRE][B]SMSpour la science (licence: 1 utilisateur, manuel+ CD-Rom): Corpus de 30.000SMSet logiciel de consultation","C Fairon, JR Klein, S Paumier - 2006 - books.google.com",2006,https://books.google.com/books?hl=fr&lr=&id=PuS_B9Fla4gC&oi=fnd&pg=PA1&dq=SMS&ots=p2V9vynprF&sig=rme8PQHx8VYbDdC_l84UegqEuMs,… un des plus grands corpus deSMSexistant à l’heure actuelle. Il compte 30.000SMSrassemblés en Belgique francophone dans le cadre du projet “Faites don de vosSMSà la science” …,0
Feature engineering for mobile (SMS) spam filtering,"GV Cormack,JMG Hidalgo, EP Sánz - Proceedings of the 30th annual …, 2007 - dl.acm.org",2007,https://dl.acm.org/doi/abs/10.1145/1277741.1277951,Mobile spam in an increasing threat that may be addressed using filtering systems like thoseemployed against email spam. We believe that email filtering techniques require some …,0
[PDF][PDF]Short message service usingSMSgateway,"VK Katankar, VM Thakare - International Journal on Computer Science …, 2010 - Citeseer",2010,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=eac82cbf4fac00e4d07f15f40264cc2b5606042b,… (SMS) system for delivering messages throughSMSgateway. Main goal of proposed systemis to provide multi level local authentication to theSMS… organization whereSMSservice is …,0
Young consumers' motives for usingSMSand perceptions towardsSMSadvertising,"I Phau,M Teah- Direct Marketing: An International Journal, 2009 - emerald.com",2009,https://www.emerald.com/insight/content/doi/10.1108/17505930910964768/full/html,"Purpose – The purpose of this paper is to examine young consumers' motives for usingshort message service (SMS), theirSMSusage frequency, and their attitudes towardsSMS…",0
[PDF][PDF]A phrase-based statistical model forSMStext normalization,"AT Aw,M Zhang, J Xiao,J Su- … of the COLING/ACL 2006 Main …, 2006 - aclanthology.org",2006,https://aclanthology.org/P06-2005.pdf,"… of the existing translation system to handleSMStext style. We offer an …SMStexts beforeMT. In this paper, we view the task ofSMSnormalization as a translation problem from theSMS…",0
An application of theSMSmethod for imaging designs,"JC Miñano,P Benítez, W Lin, J Infante,F Muñoz… - Optics express, 2009 - opg.optica.org",2009,https://opg.optica.org/abstract.cfm?uri=oe-17-26-24036,… results very close to theSMSdesign we conclude that theSMSdesigns are an excellent …cases ofSMSdesigns (when theSMSdesign directions θ i coincide with the optical axis). …,0
MobileMums: a randomized controlled trial of anSMS-based physical activity intervention,"BS Fjeldsoe,YD Miller… - Annals of behavioral …, 2010 - academic.oup.com",2010,https://academic.oup.com/abm/article-abstract/39/2/101/4566648,"… FiveSMSwere sent each week for the first 2 weeks of the trial, fourSMS/week in the second2 weeks of the trial, and threeSMS/week for the remaining 8 weeks of the trial. TheSMS…",0
An examination of factors influencing consumer adoption of short message service (SMS),"GS Kim,SB Park, J Oh - Psychology & Marketing, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.20238,"… ofSMS…SMSmust be perceived as enjoyable and pleasant, because consumers’ motivationto use enjoyable and pleasant services likeSMSenhances their value perceptions ofSMS…",0
Transmission characteristics ofSMSfiber optic sensor structures,"A Kumar, RK Varshney, P Sharma - Optics communications, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S0030401803012896,We examine theoretically the transmission characteristics of the Single mode–Multimode–Singlemode (SMS) fiber structures when the spot sizes of the fundamental modes of the …,0
"SMSadvertising, permission and the consumer: a study","F Bamba,SJ Barnes- Business process management Journal, 2007 - emerald.com",2007,https://www.emerald.com/insight/content/doi/10.1108/14637150710834578/full/html,… We define consumers' permission in the context ofSMSadvertising as agreeing to receiveSMSads. Consumers' acceptance refers to the adoption ofSMSadvertising as a part of our …,0
Impact ofSMS-based agricultural information on Indian farmers,"M Fafchamps,B Minten- The World Bank Economic Review, 2012 - academic.oup.com",2012,https://academic.oup.com/wber/article-abstract/26/3/383/1672216,This study estimates the benefits that Indian farmers derive from market and weather informationdelivered to their mobile phones by a commercial service called Reuters Market Light (…,0
State Mindfulness Scale (SMS): development and initial validation.,"G Tanay,A Bernstein- Psychological assessment, 2013 - psycnet.apa.org",2013,https://psycnet.apa.org/record/2013-33699-001,"… the State Mindfulness Scale (SMS). We developed theSMSto reflect traditional Buddhist and… , and incremental convergent validity ofSMSscores with respect to other measures of state …",0
Smsspam detection using noncontent features,"Q Xu,EW Xiang, Q Yang, J Du… - IEEE Intelligent …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6133257/,"… Short Message Service (SMS) text messages are indispensable in our lives today, butalong with the convenience of usingSMSmessages in our daily lives, we also face a serious …",0
[PDF][PDF]La forme des interrogatives dans le Corpus suisse deSMSen français: étude multidimensionnelle,A Guryev- 2017 - academia.edu,,https://www.academia.edu/download/60730427/These_ag_finale20190928-80727-1mu92pg.pdf,La présente thèse s’ inscrit dans le projet FNS Sinergia 136230 “SMScommunication inSwitzerland: Facets of Linguistic Variation in a Multilingual Country”. Ella a pour but d’étudier la …,0
TiLT correcteur deSMS: évaluation et bilan qualitatif,"ÉG De Neef, A Debeurme, J Park - … de la 14ème conférence sur le …, 2007 - aclanthology.org",2007,https://aclanthology.org/2007.jeptalnrecital-long.11/,"… deSMSTiLT en mesurant ses performances sur le corpus deSMSdu laboratoire DELIC.Dans une première section, nous décrivons le logiciel et ses adaptations au contexteSMS. …",0
L'italiano al telefonino: UsingSMSto support beginners' language learning1,"C Kennedy, M Levy - ReCALL, 2008 - cambridge.org",2008,https://www.cambridge.org/core/journals/recall/article/litaliano-al-telefonino-using-sms-to-support-beginners-language-learning1/8D0AD255DBEC8879CCDCB3AE1A30657D,"… sized lessons” viaSMSas a “…SMSto complement our in-class teaching, with a focus onvocabulary learning in particular. In this article we first set out the rationale for our work withSMS…",0
[LIVRE][B]Grammaire duSMS,AN Robert-Tissot - 2017 - zora.uzh.ch,,https://www.zora.uzh.ch/id/eprint/169752/,"En quoi est-ce que la grammaire desSMSdiffère-t-elle du français «standard»? De quoifaire frémir les enseignants: «J tap'L dê ke J p'E», «Tê le plu bo 2 la klass». Même si nous …",0
A review on mobileSMSspam filtering techniques,"MA Shafi'I, MS Abd Latiff,H Chiroma,O Osho… - IEEE …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/7851079/,"… (SMS) spam is understood the unsolicited or undesired messages received on mobile phones.TheseSMSspams … information in theSMSheaders and identifies theSMSspam. Jiang, …",0
Review ofSMSdesign methods and real world applications,"O Dross,R Mohedano,P Benitez… - … optics and efficient …, 2004 - spiedigitallibrary.org",2004,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5529/0000/Review-of-SMS-design-methods-and-real-world-applications/10.1117/12.561336.short,"…SMSsurfaces, are then used in theSMScalculation. Besides the obvious physical limitations(ie etendue conservation [1]), the only condition for a successfulSMS… by theSMSsurfaces. …",0
"[PDF][PDF]Mobile phones,SMS, and relationships","L Horstmanshof,MR Power- Australian Journal of …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/Louise-Horstmanshof/publication/27827329_Mobile_phones_SMS_and_relationships/links/0912f508644dea7fdd000000/Mobile-phones-SMS-and-relationships.pdf,…SMSand its widespread use have implications for human behoviour and sociol intercourse.The focus-group research withSMS… about young adults' use ofSMS-that it is prevalent and …,0
A corpus linguistics study ofSMStext messaging,C Tagg- 2009 - etheses.bham.ac.uk,,https://etheses.bham.ac.uk/id/eprint/253/,This thesis reports a study using a corpus of text messages in English (CorTxt) to explorelinguistic features which define texting as a language variety. It focuses on how the language of …,0
Applying the technology acceptance model in a two-country study ofSMSadvertising,"A Muk, C Chung - Journal of Business Research, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S0148296314001982,… ofSMSadvertising and the relationship between attitudes and intention to use. By comparingAmerican and Korean consumers' attitudes towardSMSads and intentions to useSMS…,0
[LIVRE][B]E-Mail undSMS–ein Vergleich,C Dürscheid- 2002 - academia.edu,,https://www.academia.edu/download/16941721/duerscheid.pdf,"… Will man mittels solch gespeicherterSMSeinen Korpus erstellen, bleibt nur die … , dieSMSwurde vom Handy zum Computer verschickt oder umgekehrt von einem der kostenlosenSMS-…",0
[PDF][PDF]The development of aSMS-based teaching and learning system,"S So- Journal of Educational Technology Development and …, 2009 - aquila.usm.edu",2009,https://aquila.usm.edu/cgi/viewcontent.cgi?article=1073&context=jetde,… Abstract:The short message service (SMS) technology is one of the most stable mobile …SMSfacilities and can be used for teaching and learning. There are many projects of usingSMS…,0
Use ofSMStext messaging to improve outpatient attendance,"SR Downer,JG Meara… - Medical journal of …, 2005 - Wiley Online Library",2005,https://onlinelibrary.wiley.com/doi/abs/10.5694/j.1326-5377.2005.tb07085.x,"…SMSmessages were sent in Australia in 2003–04, a 28% increase on the previous year.SMS… We plan to extend the trial ofSMSreminders to all outpatient clinics in our hospital. Other …",0
Independent and personalSMSspam filtering,"MT Nuruzzaman, C Lee, D Choi - 2011 IEEE 11th International …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6036805/,…SMSas training data and 885SMSas filtering and updating data. If only misclassifiedSMS… 90.17% accuracy and a processing time of 0.04 seconds per incomingSMS. If all incoming …,0
[PDF][PDF]SMSbased interface for FAQ retrieval,"G Kothari, S Negi, TA Faruquie… - Proceedings of the …, 2009 - aclanthology.org",2009,https://aclanthology.org/P09-1096.pdf,… to the inherent noise inSMSquestions. In this work we present an automatic FAQ-basedquestion answering system forSMSusers. We handle the noise in aSMSquery by formulating …,0
[PDF][PDF]NormalizingSMS: are two metaphors better than one?,"C Kobus,F Yvon,G Damnati- Proceedings of the 22nd …, 2008 - aclanthology.org",2008,https://aclanthology.org/C08-1056.pdf,"… larities between theSMSlanguage and speech, and notably from the fact that inSMS, word… and contrast two approaches to theSMSnormalization problem. We demonstrate that both …",0
"[CITATION][C]Il parlar spedito: l'italiano di chat, e-mail eSMS",E Pistolesi - 2004 - Padova,,,,0
SMStext messaging improves outpatient attendance,"SR Downer,JG Meara, AC Da Costa… - Australian Health …, 2006 - CSIRO Publishing",2006,https://www.publish.csiro.au/ah/AH060389,… The cost of sending theSMSreminders was small compared with the …SMS. The FTAreduction coupled with the increase in patient revenue suggests that reminding patients usingSMS…,0
High sensitivitySMSfiber structure based refractometer–analysis and experiment,"Q Wu,Y Semenova,P Wang,G Farrell- Optics express, 2011 - opg.optica.org",2011,https://opg.optica.org/abstract.cfm?uri=oe-19-9-7937,We have investigated the influence of multimode fiber core (MMFC) diameters and lengthson the sensitivity of anSMSfiber based refractometer. We show that the MMFC diameter has …,0
[HTML][HTML]Особенности современного текстового мышления.SMS-язык,"АА Ионина - Вестник Московского городского педагогического …, 2008 - cyberleninka.ru",2008,https://cyberleninka.ru/article/n/osobennosti-sovremennogo-tekstovogo-myshleniya-sms-yazyk,"This essay explores the standards of the modern perception of the text and the detrimentaleffect of the media on children's thought and speech. The Short Message language, which is …",0
Understanding the acceptance of mobileSMSadvertising among young Chinese consumers,"J Zhang,E Mao- Psychology & Marketing, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1002/mar.20239,"… ) was developed to test the intention to useSMSadvertising—that is, to read the advertising… ofSMSadvertising messages, predicted the intention to use them. In addition, trust inSMS…",0
[PDF][PDF]SMSspam filtering technique based on artificial immune system,"TM Mahmoud,AM Mahfouz- International Journal of Computer …, 2012 - researchgate.net",2012,https://www.researchgate.net/profile/Tarek-Mahmoud-8/publication/267798246_SMS_Spam_Filtering_Technique_Based_on_Artificial_Immune_System/links/54b67b970cf2bd04be32155f/SMS-Spam-Filtering-Technique-Based-on-Artificial-Immune-System.pdf,"…SMSspam has an important economic impact to end users and service …SMSspam has abigger effect on users than email spam because users look at everySMSthey receive, soSMS…",0
Social media andSMSin the Haiti earthquake,"J Dugdale,B Van de Walle… - Proceedings of the 21st …, 2012 - dl.acm.org",2012,https://dl.acm.org/doi/abs/10.1145/2187980.2188189,We describe some first results of an empirical study describing how social media andSMSwere used in coordinating humanitarian relief after the Haiti Earthquake in January 2010. …,0
SSMS-A secureSMSmessaging protocol for the m-payment systems,"M Toorani,A Beheshti- 2008 IEEE Symposium on Computers …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4625610/,"The GSM network with the greatest worldwide number of users, succumbs to severalsecurity vulnerabilities. The Short Message Service (SMS) is one of its superior and well-tried …",0
Mining sentiments inSMStexts for teaching evaluation,"CK Leong, YH Lee, WK Mak - Expert Systems with applications, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0957417411012449,"… The termSMSis often used as a synonym for all types of short text messaging, as well as …creatingSMStexts. In this paper, we use the term “SMStexts” to refer to the individualSMStext …",0
Please reply! The replying norm in adolescentSMScommunication,"D Laursen- … text: Social, cultural and design perspectives onSMS, 2005 - Springer",2005,https://link.springer.com/content/pdf/10.1007/1-4020-3060-6_4?pdf=chapter%20toc,"… alternating AB sequence, where A stands for anSMSfrom the initiator of theSMScommunicationsequence, and B stands for the replySMSfrom the recipient. An AB sequence may or …",0
Using Short Message Service (SMS) to teach English idioms to EFL students,"A Hayati,A Jalilifar,A Mashhadi- British journal of educational …, 2013 - Wiley Online Library",2013,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2011.01260.x,"This study aimed to gauge the efficacy of three modes of instruction of English idioms, ie,Short Message Service (SMS)‐based learning, contextual learning and self‐study learning. …",0
The impact of persuasiveSMSon students' self‐regulated learning,"TT Goh,BC Seet,NS Chen- British Journal of Educational …, 2012 - Wiley Online Library",2012,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2011.01236.x,… anySMSintervention. This study suggests that practitioners should consider the adoptionof the …SMSintervention by using the principles of persuasive technology for sendingSMS…,0
[CITATION][C]Attitudes of young consumers towardsSMSadvertising,"V Der Waldt, D la Rey, TM Rebello, WJ Brown - 2009 - Academic Journals",2009,,,0
[LIVRE][B]Mobile application development withSMSand the SIM toolkit,"SB Guthery, M Cronin - 2001 - dl.acm.org",2001,https://dl.acm.org/doi/abs/10.5555/559755,"… , build, and integrateSMSmessaging into your applications … networks Send and receiveSMSmessages from your server or … know that today's 2 billionSMSmessages per month are not …",0
Towardssmsspam filtering: Results under a new dataset,"T Almeida,JM Hidalgo, T Silva - International Journal of Information …, 2013 - dergipark.org.tr",2013,https://dergipark.org.tr/en/pub/ijiss/issue/16051/167834,"… To fill these important gaps, we have recently proposed the newSMSSpam Collection [1],which is a real, public, non-encoded, and to the best of our knowledge it is the largestSMS…",0
SMS-EMOA: Multiobjective selection based on dominated hypervolume,"N Beume,B Naujoks,M Emmerich- European Journal of Operational …, 2007 - Elsevier",2007,https://www.sciencedirect.com/science/article/pii/S0377221706005443,"… theSMS-EMOA is presented which has an improved runtime and in some cases even higherquality than the basicSMS-… In Section 3, we compare the performance of theSMS-EMOA to …",0
SMSfor decision making of SMEs,"A Laurinkevičiūtė, Ž Stasiškienė - Clean Technologies and Environmental …, 2011 - Springer",2011,https://link.springer.com/article/10.1007/s10098-011-0349-1,…SMSwas applied in three pilot SMEs (small-scale …SMSenabled to identify key sustainabilityproblems and to find solutions to improve the companies’ sustainability performance.SMS…,0
Design and prototype implementation ofSMSbased home automation system,"H ElKamchouchi,A ElShafee- 2012 IEEE International …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6507788/,"This research aims to design and implement a cost effective but yet flexible, adaptable, andsecure Home automation system. Paper presents design and prototype implementation of a …",0
Permodelan Sistem Pembayaran SPP BerbasisSmsGateway Pada SMK Negeri 1 Bandar Lampung,"AT Priandika, A Tanthowi… - Journal of Engineering …, 2022 - jurnal.teknokrat.ac.id",2022,http://jurnal.teknokrat.ac.id/index.php/JEIT-CS/article/view/130,"… dekstop dansmsgateway, …SMSGateway. Didukung dengan adanya komputer padalembaga. Dengan adanya aplikasi sistem informasi pembayaran SPP berbasis dekstop danSMS…",0
The impact of feature extraction and selection onSMSspam filtering,"AK Uysal,S Gunal,S Ergin,ES Gunal- Elektronika ir Elektrotechnika, 2013 - eejournal.ktu.lt",2013,https://www.eejournal.ktu.lt/index.php/elt/article/view/1829,"… are just a limited number of publicly availableSMSmessage collections in the literature.Therefore, as part of this study, a brand newSMSmessage collection is constituted in Turkish, …",0
El discurso del'whatsapp': entre el'messenger'y el'SMS',"MLC Vaquera- Oralia: Análisis del discurso oral, 2014 - ojs.ual.es",2014,https://ojs.ual.es/ojs/index.php/ORALIA/article/view/8001,"… Es un sistema que comparte muchas de las peculiaridades de otras técnicas de comunicaciónelectrónicas (las más cercanas, el Messenger y elSMS, como se estudia en este artículo)…",0
